============================================================
  Density — SİSTEM LOGLARI
  Kamera  : cam3
  Tarih   : 2026-06-16
  Açıldı  : 2026-06-16 00:00:02
============================================================

[2026-06-16 00:00:02] [SYS] YENİ GÜN: 2026-06-15 -> 2026-06-16
[2026-06-16 10:22:59] [DBG] [PERF] FPS=0.5 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:23:29] [DBG] [PERF] FPS=0.5 YOLO=20ms Buf=0/30 Drop=0
[2026-06-16 10:24:00] [DBG] [PERF] FPS=0.5 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:24:30] [DBG] [PERF] FPS=0.5 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:25:01] [DBG] [PERF] FPS=0.5 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:25:09] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:25:31] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:26:02] [DBG] [PERF] FPS=0.5 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:26:32] [DBG] [PERF] FPS=0.5 YOLO=21ms Buf=0/30 Drop=0
[2026-06-16 10:27:03] [DBG] [PERF] FPS=0.5 YOLO=12ms Buf=0/30 Drop=0
[2026-06-16 10:27:34] [DBG] [PERF] FPS=0.5 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:28:04] [DBG] [PERF] FPS=0.5 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:28:35] [DBG] [PERF] FPS=0.5 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:29:06] [DBG] [PERF] FPS=0.5 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:29:36] [DBG] [PERF] FPS=0.5 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:30:07] [DBG] [PERF] FPS=0.5 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:30:11] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:30:37] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:31:08] [DBG] [PERF] FPS=0.5 YOLO=12ms Buf=0/30 Drop=0
[2026-06-16 10:31:38] [DBG] [PERF] FPS=0.5 YOLO=24ms Buf=0/30 Drop=0
[2026-06-16 10:32:09] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
