[2026-03-14 13:47:00] [API-ISTEK] Saat=2026-03-14T10:46:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:47:00] [API-ISTEK] Saat=2026-03-14T10:46:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:48:00] [API-ISTEK] Saat=2026-03-14T10:47:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:48:00] [API-ISTEK] Saat=2026-03-14T10:47:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:49:00] [API-ISTEK] Saat=2026-03-14T10:48:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:49:00] [API-ISTEK] Saat=2026-03-14T10:48:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:50:00] [API-ISTEK] Saat=2026-03-14T10:49:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:50:00] [API-ISTEK] Saat=2026-03-14T10:49:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:51:00] [API-ISTEK] Saat=2026-03-14T10:50:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:51:00] [API-ISTEK] Saat=2026-03-14T10:50:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:52:00] [API-ISTEK] Saat=2026-03-14T10:51:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:52:00] [API-ISTEK] Saat=2026-03-14T10:51:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:53:00] [API-ISTEK] Saat=2026-03-14T10:52:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:53:00] [API-ISTEK] Saat=2026-03-14T10:52:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:54:00] [API-ISTEK] Saat=2026-03-14T10:53:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:54:00] [API-ISTEK] Saat=2026-03-14T10:53:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:55:00] [API-ISTEK] Saat=2026-03-14T10:54:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:55:00] [API-ISTEK] Saat=2026-03-14T10:54:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:56:00] [API-ISTEK] Saat=2026-03-14T10:55:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:56:00] [API-ISTEK] Saat=2026-03-14T10:55:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:57:00] [API-ISTEK] Saat=2026-03-14T10:56:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:57:00] [API-ISTEK] Saat=2026-03-14T10:56:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:58:00] [API-ISTEK] Saat=2026-03-14T10:57:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:58:00] [API-ISTEK] Saat=2026-03-14T10:57:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:59:00] [API-ISTEK] Saat=2026-03-14T10:58:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:59:00] [API-ISTEK] Saat=2026-03-14T10:58:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:00:00] [API-ISTEK] Saat=2026-03-14T10:59:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:00:00] [API-ISTEK] Saat=2026-03-14T10:59:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:01:00] [API-ISTEK] Saat=2026-03-14T11:00:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:01:00] [API-ISTEK] Saat=2026-03-14T11:00:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:02:00] [API-ISTEK] Saat=2026-03-14T11:01:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:02:00] [API-ISTEK] Saat=2026-03-14T11:01:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:03:00] [API-ISTEK] Saat=2026-03-14T11:02:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:03:00] [API-ISTEK] Saat=2026-03-14T11:02:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:04:00] [API-ISTEK] Saat=2026-03-14T11:03:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:04:00] [API-ISTEK] Saat=2026-03-14T11:03:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:05:00] [API-ISTEK] Saat=2026-03-14T11:04:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 14:05:00] [API-ISTEK] Saat=2026-03-14T11:04:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
